id,tier,scam_type,brand,message
imc25-022,clean,"banking","Santander Bank","Santander Security Policy\nOnline access to your account has been suspended due to unverified profile information. To immediately regain access to your banking services visit //w/8KjyE8gW to update your information."
imc25-023,clean,"banking","","Your Account has been suspended and requires verification. Please click this link."
imc25-024,clean,"banking","asb bank","From ASB Bank: You have received an internal notification"
imc25-025,clean,"banking","","We have been forced to limit some features on your account temporarily, from time to time we have to carry out checks to keep in compliance with the financial regulation authority therefore we require you to carry out an ID and selfie check via the following URL:"
imc25-026,clean,"banking","","Payment received forGHS30000.00 from\nCurrent balance:GHS34796.00\nAvailable balance:34796GHS\nReference:\nTRANSACTION ID:\nFee charged:0.00 cash in is a free transaction on\nPlease don't pay any fees for it."
imc25-027,clean,"banking","","Hi,
Your account can be credited with Rs.76244/- on successful verification"
imc25-028,clean,"banking","Paytm","Congrats! You have been selected to become Paytm KYC VIP customer. We will call you shortly with instructions. Please do not share any documents on WhatsApp."
imc25-029,clean,"banking","","Hi, Your account can be credited with Rs.76282/- on successful verification"
imc25-030,brand-restored,"banking","cimb bank","Stand a chance to win an iPhone 8 by giving consent for Touch n Go to share your info to CIMB Bank for marketing purposes. Reply cimb bank now. For details"
imc25-031,clean,"banking","wells fargo","WELLS FARGO: Validation required on your account"
imc25-032,clean,"banking","pb guardian","PB Guardian Alert on card 8975 at JANE DOE DDS PC for $453.00. Reply DDAER7NO if unauthorized. Reply STOP to cancel alerts."
imc25-033,brand-restored,"banking","Barclays","DECLINED, was If you made all the payments above please reply Barclays, if there are any that you didn't make please reply Barclays The letter D after any of your payments means it's been declined. Your Barclays Team"
imc25-034,clean,"banking","anz","ANZ Account Locked. Click the button below to unlock your account"
imc25-035,clean,"banking","Paytm","Dear PAYTM User
Your PAYTM A/ C K.Y.C Has Been Expired
Call immediately
For Verification
A/c Will Be Blocked
Within 24hr
PAYTM OFFICE PH"
imc25-036,brand-restored,"banking","sgpaynow","Sent with id: sgpaynow, randint as proof: 9"
imc25-037,clean,"banking","","Important. A transfer of funds has been sent to you. Please drop them here:"
imc25-038,clean,"banking","State Bank of India","Dear customer your SBI Net Banking account has been Blocked please check your A/C details click here to login your Net Banking"
imc25-039,clean,"banking","Paytm","Dear Customer, Your Paytm A/ C KYC has been Suspended. Please Re-verify your Pan_Card Video KYC follow the link and Update:"
imc25-040,clean,"banking","State Bank of India","Dear customer Your SBI BANK account has been blocked. Please update your KYC in click here link -"
imc25-041,clean,"delivery","","Your order is currently on hold due to incorrect information. You need to review your delivery details so we can reschedule your delivery:"
imc25-042,clean,"delivery","","Your package can't be deliver due to incorrect address. Please fill the right details so we can redeliver the parcel as soon as possible."
imc25-043,clean,"delivery","","We have received your order and it is now ready to be forwarded to your address. Follow the instructions here: http://"
imc25-044,brand-restored,"delivery","aupost","aupost: Due to incomplete address your package cannot deliver. Fill in address to ensure delivery as scheduled."
imc25-045,clean,"delivery","Amazon","Order confirmed: You can add more items until we start packing your Amazon Fresh order."
imc25-046,clean,"delivery","","Your order is / already on the way to you! https://piff.e-..."
imc25-047,clean,"delivery","USPS","[USPS] The package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address at the link.

( Please reply to 1 to obtain the latest logistics status )

Sincerely,
USPS Support Team"
imc25-048,clean,"delivery","UPS","Hi, you still owe UPS $4.10 USD in customs fees for your previous package. Reply 1 to receive a secure link to pay your invoice."
imc25-049,clean,"delivery","","Great news, the product you ordered is ready to be booked for delivery. Please follow this link and select the best date for you."
imc25-050,clean,"delivery","","Parcel delivery cancelled due to invalid billing, instructions on how to fix can be viewed on"
imc25-051,clean,"delivery","","Your package is waiting for delivery. Confirm the settlement (1.65 EUR) in the following link, click here: 👇"
imc25-052,clean,"delivery","USPS","(U S/ Ps)-:Your Package has been stopped due to lack of address details please complete your address:"
imc25-053,clean,"delivery","","We attempted to deliver your parcel to you however nobody was able to accept it."
imc25-054,clean,"delivery","","EA774980313UK is ready to be dispatched. Please settle the 2.99 (GBP) shipping fee via:"
imc25-055,clean,"delivery","delivery service","Delivery Service - Your p@ackage has arrived at the distribution center, your address format is incorrect please update:"
imc25-056,clean,"delivery","","Due to address problems your package will be returned to the sorting center please update a valid and correct shipping address:"
imc25-057,clean,"delivery","royal mail","Your Royal Mail parcel is waiting for delivery. Please confirm the shipping fee of 2.99 (GBP) via:"
imc25-058,clean,"delivery","hpcl","Dear Customer, our delivery man tried delivery at your address but failed due to ?Not booked?. Delivery will be attempted again. - HPCL"
imc25-059,clean,"delivery","USPS","[USPS] Your package is being returned to sender due to an add ress that could not be verified please complete the update here:"
imc25-060,brand-restored,"delivery","dubizzle","dubizzle,i ordered dubizzle delivery"
imc25-061,clean,"delivery","dpd","Your order will be delivered 21 Sep by DPD. Not going to be in?"
imc25-062,clean,"delivery","","I brought back my luggage because I was absent. Please confirm."
imc25-063,clean,"delivery","","Hi there! Did you get - ? (09?) your delivery?"
imc25-064,clean,"delivery","hermes","Hermes: Your parcel is waiting for redelivery. A fee of £1.99 will be added as a charge. Please confirm the redelivery of your parcel"
imc25-065,clean,"delivery","USPS","Hello, USPS reminds you that your package has arrived at the warehouse, but cannot be delivered due to incomplete address information. Please confirm your address in the link."
imc25-066,clean,"delivery","","Delivery service: Provide the correct delivery address to avoid delay in receiving the goods due to incomplete door number. After replying ""OK"", reconfirm your address, please update it timely."
imc25-067,clean,"delivery","UPS","Delayed at Customs: Your package is being processed by Customs officials. UPS may require additional information from you. More info at"
imc25-068,clean,"delivery","USPS","The USPS package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please change your address in the link and pay 0.3 USD in the link, otherwise the express will be returned."
imc25-069,clean,"delivery","royalmail","RoyalMail:Your Royal Mail parcel is waiting for delivery. Please confirm the settlement of 1,99(GBP) on the link below:"
imc25-070,brand-restored,"delivery","Amazon","Hi Amazon, this is Amazon from Amazon. I've tried to deliver your package twice, but have been unable to do so. Can you please schedule here:"
imc25-071,clean,"delivery","","Its  Jim!Im trying to deliver your parcel. Please  send me your delivery details asap"
imc25-072,clean,"delivery","","Package reminder: We cannot deliver your package to door due to the incomplete house number, please fill in the address."
imc25-073,clean,"delivery","","Hello, We are missing information in order to complete your redelivery. please use your secure link below to correct your address"
imc25-074,clean,"delivery","","You have (1) package waiting for delivery. Use your code to track it and receive it"
imc25-075,clean,"delivery","USPS","U.S.P.S - The package has arrived at the warehouse and cannot be delivered due to incomplete address information. Confirm your address at the link."
imc25-076,clean,"delivery","post office","Co m e to our post office t o get your delivery package."
imc25-077,clean,"delivery","","Your house number is incorrect and we cannot deliver your package. Modify the address so we can arrange delivery."
imc25-078,clean,"delivery","UPS","(UPS) Your #UPS-VTGIOVUP package unable to deliver, re-check your zip code:"
imc25-079,clean,"delivery","","Your package has arrived at distribution center FE51Y5, but we cannot deliver it due to incorrect information provided by the sender. Ref #:GP14Z4747 –Please verify your address information in this link–"
imc25-080,clean,"delivery","","Dear Consumer, Advance Payment of Rs. 911.50 for your Order No.78692 Received Successfully..."
imc25-081,brand-restored,"government","incomedept","Dear shyamveer incomedept! This is to inform you that the IncomeDept has o refund of 42668.97 rs but one of your details is incorrect | Ensure you fill accurate details.  Click the link beneath and submit a refund request."
imc25-082,brand-restored,"government","income tax department","Important Alert! Dear income tax department, the Incometax_Department requires you to click the link below to submit a formal request for the payment of your unclaimed and overdue tax-refund of 19,751INR."
imc25-083,clean,"government","incometaxdepartment","Important Alert! Dear bharat kushwah, the Incometax_Department requires you to click the link below to submit a formal request for the payment of your unclaimed and overdue tax-refund of 19,150INR."
imc25-084,brand-restored,"government","income tax department","Dear satheesh income tax department , your income tax refund of Rs.16,988 has been approved and your bank a/c will be credited shortly. Do kindly verify your a/c no 5XXXXXX6755. If the same is incorrect, quickly follow the link below to update your bank record on file."
imc25-085,clean,"government","govuk","GOVUK: You are eligible for a discounted energy bill under the Energy Support Scheme. You can apply here:"
imc25-086,clean,"government","mygov","myGov; Claim your newly paid tax return. click here"
imc25-087,clean,"government","","Dear ********, your income tax refund of Rs. 12,514 has been approved and your bank a/c will be credited shortly. Do kindly verify your a/c no 5XXXXX6755. If the same is incorrect, quickly follow the link below to update your bank record on file."
imc25-088,clean,"government","unspecified","Action Required! Your driver's license required to meet with our new regulation-compliant update."
imc25-089,clean,"government","","Hi ! I can help you claim a tax credit that could reduce your tax burden by a hundred thousand dollars or more, depending on how many employees you had during COVID. Don't let this opportunity pass by! Can I share more info? YES for more Reply STOP to Unsubscribe"
imc25-090,brand-restored,"government","income tax department","Dear income tax department CSM, your income tax refund of Rs. 16,988 has been approved and your bank a/c will be credited shortly. Do kindly verify your a/c no 5XXXXX6755. If the same is incorrect, quickly follow the link below to update your bank record on file."
imc25-091,clean,"government","IRS","[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link."
imc25-092,clean,"government","ayushman health card","Hi Your Ayushman Health Card No.######, Status Approved"
imc25-093,clean,"government","nhs","NHS: We have been notified you still have not applied for your Covid Pass. To apply, please visit"
imc25-094,clean,"government","incometax dept","Dear ****, the Incometax Dept requires you to click the link below to submit a formal request for the remittance of your unclaimed overdue tax refund of Rs19,450."
imc25-095,clean,"government","central government","Due to COVID-19 Outbreak, Central Govt. Has Decided to Provide Tax Refund to All Tax Payers, In Order To Provide Them Financial Ease During Lockdown. Click Below to Claim Your Refund."
imc25-096,clean,"government","nhs","NHS: We noticed you haven't applied for your Covid Pass. Follow the link to complete registration and avoid penalties:"
imc25-097,clean,"government","","You are identified as available to apply for your covid pass. To apply for this follow our link at:"
imc25-098,clean,"government","singpass","Your singpass has been disabled due to security reasons, Please verify your information to activate it again:"
imc25-099,clean,"government","canada revenue agency","INTERAC e-Transfer received: CANADA REVENUE AGENCY has sent you an $498.27 INTERAC e-Transfer. Click here to deposit"
imc25-100,clean,"government","incomedept","Attention! This is to inform you that the IncomeDept has officially concluded the TaxAudit. You are due for an overdue refund of 40199.49 rs but one of your details is incorrect please follow below to crosscheck and apply accordingly Ensure you fill accurate details.  Click the link beneath and submit a refund request."
imc25-101,clean,"government","nhs","NHS: We have identified that your are eligible to apply for your vaccine. For more information and to apply, follow here :"
imc25-102,clean,"government","","Hello sir/madam We are contacting you from Anushakti Nagar 172 Assembly Constituency.  We have got your number in our computer system. Your Aadhaar card has not been linked with the voting card. So to link your Aadhaar card number and mobile number you should WhatsApp me on this number so that your Aadhaar card will be linked to the voting card."
imc25-103,clean,"government","hmrc","You have a pending Tax Refund of 265.84GBP from HMRC. To proceed your application please complete your form via"
imc25-104,clean,"government","nhs","NHS: We have recently checked that you can now apply for your Covid Pass proving you have been vaccinated. Please visit https://nhs-pass for more information."
imc25-105,clean,"government","lta","LTA: You have a bill that will be overdue and incur a penalty. Please check and complete the payment :"
imc25-106,brand-restored,"government","incometax e-filing","IncomeTax (e-filing) requires you, incometax e-filing to click incometax e-filing to submit a formal refund request for the remittance of your overdue approved refund of Rs27,641.09."
imc25-107,clean,"government","hmrc","HMRC: We are glad to inform you that you are eligible for your tax return, claim now: https://"
imc25-108,clean,"government","","Please call us on 131 272 as we need to talk to you about your child support details. Do not reply by SMS"
imc25-109,clean,"government","dvla","DVLA:
You still have an outstanding vehicle tax reimbursement of 63.97 GBP. Follow the link."
imc25-110,clean,"government","","We have recalculated your vehicle tax. You are owed £137.24 due to overpayment. Check here to claim your refund"
imc25-111,clean,"government","hmrc","HMRC have determined that you are eligible to receive a tax refund of 257.69 GBP Click here to begin:"
imc25-112,clean,"government","us government","upward as your 2023 Tax Refund set up by the US Government to make sure all citizens get their refund. Click the link below to Apply and claim your Refund"
imc25-113,brand-restored,"government","medicare","Medicare: You have been in recent contact with a person who is positive for medicare. Order a free test kit at:"
imc25-114,clean,"government","hm revenue & customs","You have a pending payment of 265.84GBP from HM Revenue & Customs. To proceed please fill your form on our link provided."
imc25-115,clean,"government","incometaxdepartment","Important Alert! Dear ****, the Incometax_Department requires you to click the link below to submit a formal request for the payment of your unclaimed and overdue tax-refund of 19,150INR."
imc25-116,clean,"government","government","Government service: The system has detected that you may evade taxes please update your personal information in time"
imc25-117,clean,"government","income tax department","Dear PV Ramaswamy , the incometax Dept requires you to click the link below to submit a formal request for the remittance of your unclaimed overdue tax refund of Rs19,450."
imc25-118,brand-restored,"government","dvla","FINAL REQUEST:DVLA Swansea have been trying to contact you Click below for more information. dvla"
imc25-119,clean,"government","government","You have an outstanding tax refund of 578.44GBP. Follow our secure link below, your bank may require extra verification."
imc25-120,clean,"government","employment ltd, gst,cra","Message from *CRA* Your *GST* rebates from *employment LTD* is currently available. For next step Reply ""Go""."
imc25-121,clean,"hey mum/dad","","Hi mum I'm texting you off a friends phone I've smashed mine and their phones about to die can you WhatsApp my new number"
imc25-122,clean,"hey mum/dad","","Hi mum I've smashed my phone so I'm using a spare phone now. Can you save this number and text me through whatsapp when you see this please?"
imc25-123,clean,"hey mum/dad","","Hi mum I'm using friends phone I've smashed mine and their phones low can you message my new number please 075XXXXXX x"
imc25-124,clean,"hey mum/dad","","Hi Dad Whose this? It's your eldest and favourite child. X Hmm I have an eldest child and I have a favourite child!! X Yes x"
imc25-125,clean,"hey mum/dad","","Hi mum ive smashed my phone. Can you whatsapp me heres my new number 04858xxxx x, it is urgent please"
imc25-126,clean,"hey mum/dad","","Hi mum/dad I've dropped my phone and now it's broken this is my new number for now so can you save it and text me through What's App please"
imc25-127,clean,"hey mum/dad","","Hi Dad I have damaged my phone so this is my new number just until I get my phone repaired Save my temp number x Thanks for saving number. I'll be on this number just until I get my phone repaired. X Hopefully the phone shop can fix it fingers crossed.. I'm having a nightmare with another issue that I may need help with.. x"
imc25-128,clean,"hey mum/dad","","Hey mum whatsapp me asap on tis number x"
imc25-129,clean,"hey mum/dad","","Hey mum, my phone has water damage. That is why i have this temporary number. It felt in my sink😞 how are you doing?"
imc25-130,clean,"hey mum/dad","","Dad i lost my phone. This is my new number could you please send me a message on WahtsApp on this new number?"
imc25-131,clean,"hey mum/dad","","It’s 🥵 we just finished the thing and were coming back
My phone died so I’m waiting for it to charge"
imc25-132,clean,"hey mum/dad","","Hello-Mum I accidentally dropped my mobile-phone down the toilet it is damaged so I'm using an old one save this # for the time being."
imc25-133,clean,"others","","Tap the link to read the updated policy."
imc25-134,clean,"others","","Dear BALAKRISHNAN M, Congratulations you have successfully registered."
imc25-135,clean,"others","Netflix","There is an issue with your Netflix membership, Click for further information."
imc25-136,clean,"others","flipkart","Installation and Demo Completed: We trust that Installation and Demo for Sleepyhead Footsie Combo Engineered Wood Shoe Rack with Flipkart order ID OD426762207824144100 was successfully done. We hope you are happy with the service provided. Are you happy with your recent purchase? To rate the product please click here:"
imc25-137,clean,"others","","RM0 EN Your account is judged as high risk by the system, PLS re-verify your account."
imc25-138,clean,"others","Amazon","Due to a problem with your card information, we have disabled your amazon account for your security reasons. To unlock your account please follow link below:"
imc25-139,clean,"others","vlay sales","Dear Guest 45621 is Your OTP For VLAY SALES. Please Verify To Proceed Further."
imc25-140,brand-restored,"others","forward florida action","Hello forward florida action! It's forward florida action from Forward Florida Action! We want to invite you to register to vote online. Together, we can restore decency and elect competent leaders. Will you register?"
imc25-141,clean,"others","","Sorry about that. We understand that you're waiting for a communication from our end. Be assured we're  working on the issue raised. Request you to allow us some more time so that we can sort this out. Appreciate your patience. ^CK"
imc25-142,clean,"others","apple","Your Apple account has been suspended due to security reasons. To unlock it, review your account here:"
imc25-143,clean,"others","","You have received 1.3875 ETH. Confirm the payment"
imc25-144,clean,"others","woolworths","I am at Woolworths and brought my old debit by mistake! Can you please transfer me 825 I will give it back as soon as I get back. BSB 670-864 ACC 2019-0264."
imc25-145,clean,"others","Netflix","We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption.  To using your account as normally please follow the instructions by click on link below :"
imc25-146,clean,"others","","There was an issue with your most recent bill.
Please visit the website below."
imc25-147,clean,"others","bml innovation lab","BML innovation lab Hackathon information forum is going live.

to participate virtually in our live forum please visit the link below."
imc25-148,clean,"others","Amazon","Congratulations for Online shopping Amazon Company L.T.D.Bumper Dhamaka Lucky Draw Contest Happen and you won 1st prize Tata nexon car and market price 5,85,000 winner lucky Coupon No."
imc25-149,clean,"others","Paytm","Congratulation, Dear our Customer Monukumar, You've Won Paytm Reward Rs.549, Claim Now and Withdraw it."
imc25-150,clean,"others","electricity office","Dear Consumer Your Electricity Power Will Be Disconnected. at Tonight 07:00Pm from Electricity Office cause of low Mobile Bill Was not Updated And Update You With Our Electricity Officer Thank You..."
imc25-151,clean,"others","","You have received an MMS message. Read here: [malware url]"
imc25-152,clean,"others","","The spot I wanna hit close at dawn so it a b pointless to go fr"
imc25-153,clean,"others","","You're bored. Does your mother know you're like this?"
imc25-154,brand-restored,"others","oprah","oprah's Biggest Give-Away Ever!"
imc25-155,clean,"others","","YOU turned Auto-Scan OFF on your device! 3 Malicious files have been found! Enable Auto-Scan now"
imc25-156,clean,"others","apple","Your Apple ID is due to expire. To prevent this, confirm your Apple ID at"
imc25-157,clean,"others","","Hello' I am sorry I sent you a my 6 digit code by SMS by mistake can you pass it to me please ? it is urgent"
imc25-158,clean,"others","Jio","Hi, Your Jiomart return request for Typographic Print Crew-Neck T-shirt (Return No. 16349908780278269A-01) has been successfully placed. We expect to pick this up soon."
imc25-159,clean,"others","woolworths","Can you please tranfer me 800. I am at Woolworths and brought my old card by accident I will give it back as soon as I get home BSB 182-182 Acc"
imc25-160,clean,"others","","We Will Lock Your Device Soon. Please clear spam messages. Scan Now -"
imc25-161,clean,"others","","Your Account has been suspended and requires verification. Please visit this link for more information."
imc25-162,clean,"others","","Your account got locked. Log in to verify it."
imc25-163,clean,"others","","Dear Student
I am a HR . We are hiring for part/ full time job. Now you can earn Rs.9800 every day. Apply now"
imc25-164,clean,"others","","The position you APPLIED for has now become available, you meet all the criteria. If you still want to be interviewed Dial *120*489# s2out1.67/20s Rgdrs HR."
imc25-165,clean,"others","","Please click below to claim your prize!!!!!!"
imc25-166,clean,"others","","Hope you still have this house available on facebook because i really want it so bad! https"
imc25-167,clean,"others","","What is your bank account, I can wire the funds into your account

If you really think I have time for jokes, look somewhere else

Send the money to the Safe room officer

And stop asking for account for 650"
imc25-168,clean,"others","","Your Application will be processed soon. Confirm few details"
imc25-169,clean,"others","","You have received an MMS message. Read here:"
imc25-170,clean,"others","","(Alert2335) Please confirm your account below to avoid possible restriction. Fill out the form-"
imc25-171,clean,"others","","PROFIT WITHOUT RISK INVEST WITH AUTOTRADIN..."
imc25-172,clean,"others","","Payment Successful. Congratulations! your transaction has succeeded."
imc25-173,brand-restored,"spam","gcash","Congratulation!You have been selected as one of our lucky GCash user who will receive PHP 3000 GCash gift cash claim here: gcash"
imc25-174,clean,"spam","american consumer","American Consumer is Hiring! Test products from home & earn up to $45/ hr. No exp needed. Apply now! Remote position. Visit:"
imc25-175,clean,"spam","","Dear Client
Give your opinions for your chance to win!"
imc25-176,clean,"spam","","CONGRATULATIONS! You Won KSH 9760 on multibet (BET ID 3260)
BET:2356
1#1#X Amount KSH 500 Pos.
Win: 2900 Bal :16766
CONGRATULATIONS! You Won KSH 2900 on multibet (BET ID 2356)
BET:1324
1#1 Amount KSH 900 Pos.
Win: 5760 Bal :18766
CONGRATULATIONS! You Won KSH 2900 on multibet (BET ID 2356)
CONGRATULATIONS! You Won KSH 5760 on multibet (BET ID 2356)"
imc25-177,brand-restored,"spam","ludo account","Your 9356XXXX97 is selected for Rs 5250.00 directly in your ludo account. Register now to use it"
imc25-178,clean,"spam","bestbuy","You have been selected for a FREE $1000 Besybuy Giftcard!! Reply ""YES"" to claim your prize to get yours now. Only 43 left! Txt out to remove."
imc25-179,brand-restored,"spam","dr oz","😢 A Tragic End Today For Dr.dr oz!
read full story here"
imc25-180,brand-restored,"spam","oprah","oprah's Biggest Give-Away Ever!"
imc25-181,clean,"spam","","WIN A FREE TRIP FROM NAIROBI- A/RIVER BY SMS THE WORD NAUZA RANG' TO 999."
imc25-182,clean,"spam","","Well done! you have just been gifted a token of (75000) from our empowerment scheme. To claim reward kindly send a valid proof of identification BVN and Last 6 digits of your ATM card. our client care representative will attend to you shortly."
imc25-183,clean,"spam","kfc","For a chance to WIN your share of KFC Vouchers worth R20k, reply with your name, email & preferred store. Std rates & T&Cs apply. SMS NO to optout. The KFC Team"
imc25-184,clean,"spam","","Congratulations! You have won 10000$. To receive your prize you need to prove your identity by sending us your personal details. Send credit card and CVV number to prove your identity ASAP!"
imc25-185,clean,"spam","oprah","This giveaway is oprahs largest ever| Discount#EX455123150"
imc25-186,clean,"spam","T-Mobile","T-Mobile CONGRATULATIONS! You have been selected to get an exclusive reward! Click OK to START:"
imc25-187,clean,"spam","wetsara002","Inbound friend solicitation from WetSara002. Respond now:"
imc25-188,clean,"spam","","Organic Oxycodone tablets on Sale this WEEKEND"
imc25-189,clean,"spam","elite staffing inc","My name is mira customer service from  Elite Staffing Inc..we are a company that promote you tube videos we pay people who like our you tube videos you can earn between  MYR 200–300 per day. in a day You don't need to pay any fees.each video you like is 5 MYR. are you interested?"
imc25-190,clean,"spam","zip","ZIP: Congratulations! Now you are eligible to upgrade your credit on zip pay. Apply now"
imc25-191,clean,"spam","","Dear You are selected join our company and wage is 16000 RS."
imc25-192,clean,"spam","kopiko","Congratulations Your number/ had won PHP750000.00) 2nd winner From: KOPIKO MAGKA PERA 4 DTI# 5261'S 20. To claim just text your NAME: AGE: ADD: Work: Thank you!"
imc25-193,clean,"spam","","There's a home listed in your search area. Homes are moving fast!
From $412 - 569"
imc25-194,clean,"spam","","NEWS:
2bed / 1bath just $364 a mo available for you NOW!
click here"
imc25-195,clean,"spam","walmart","$100 Store Credit for Finishing Quick Walmart Survey 🎁"
imc25-196,clean,"spam","","Breakthrough new miracle CBD Gummies that fixes Type-2 immediately blows the sharks away.
Drops A1C On The Spot!
Handle Your Type 2 Today"
imc25-197,brand-restored,"spam","ulose store","Greetings from ulose store store! You have been chosen as the winner of the happy 420 contest! Click on this link to collect your prize money of 1,00,000! 😂😂😂😂"
imc25-198,clean,"spam","flipkart pro","Our job is to help Flipkart Pro stores improve their sales rank. Now Flipkart Pro sellers need product exposure and sales to increase brand awareness so our job is to grab orders on the shopping platform (to help online stores increase sales) and pay by task. Every time you complete a task you will receive a corresponding commission income."
imc25-199,clean,"spam","bestbuy","You have been selected for a FREE $1,000 Bestbuy Giftcard!! Reply 'YES' to claim your prize to get yours now. Only 43 left! Txt out to remove"
imc25-200,clean,"spam","costco","Since you are a appreciated customer of Costco we have a donation valued at $100 dedicated to you (Con't 2 of 2 for your efforts. Just respond to this two question survey and youll be compensated."
imc25-201,clean,"spam","diamondxtra","Congratulations! You have won N1mn in the DiamondXtra Mega Draw."
imc25-202,clean,"spam","","I’m contesting for an ambassadorialship spot at an online influencers program can you please vote for me?🙏🏼🙏🏼"
imc25-203,clean,"spam","","Hello, the world's most professional ETH analyst, teach you to easily earn $200 a day Add me WhatsApp"
imc25-204,clean,"spam","dream11","Dream11 launch new app
Really win 50% to 100% use bonus +5% in Head To Head bonus leagues
Invitecode SANDY111
Dream11 team"
imc25-205,clean,"spam","","Hi Madam/Sir you will receive a free random bonus of 8 to 188💸. Please send a message to the following account to claim it!❤️❤️"
imc25-206,clean,"spam","","High five NobuhleNombuso2! You've done all the 📩 Slam the Scam challenges. 🎉 Woohoo! 🎉 I've entered you into a daily draw to WIN data! ✋"
imc25-207,brand-restored,"spam","picknpay","We've tried to reach you picknpay! No. [redacted] was picked in our Pick'nPay BlackNovember-Prizedraw - Grab your giveaway!"
imc25-208,brand-restored,"spam","bola ahmed tinubu","Congratulations Dear you have been gifted (#75500) From Bola bola ahmed tinubu President Of NigeriaCall bola ahmed tinubu."
imc25-209,clean,"spam","bestbuy","You have been selected for a FREE $1,000 Besybuy Giftcard!! Reply ""YES"" to claim your prize to get yours now. Only 43 left! Txt out to remove."
imc25-210,clean,"spam","","You have just won a $100 gift card! Click here to claim your gift."
imc25-211,clean,"spam","walmart","Congrats! Your code L6R-K8X7 printed on your last receipt is among randomly picked for a $100 Walmart gift card protection."
imc25-212,clean,"spam","","Your personal lottery-survey code is 31159 You took 3rd place! See what you won"
imc25-213,brand-restored,"telecom","fido","NEWS FROM fido** : We are informed of the recent event involving our services. You have received coverage for any difficulty we may have caused in the amount of $90.00. We appreciate your faith in us."
imc25-214,clean,"telecom","giffgaff","From giffgaff: To keep your giffgaff services running, sign in below and follow the steps immediately."
imc25-215,clean,"telecom","ee","EE: Payment for your latest bill could not be processed by your bank. Please update your payment information via:"
imc25-216,clean,"telecom","rog","ROG ALERT*
The outage that took our networks offline caused inconvenience to all our users. We offer you our most sincere apologies in addition to a compensation of $90.00.
Get it here:"
